time,signal
0.0,-1.0
0.001,-0.998
0.002,-0.996
0.003,-0.994
0.004,-0.992
0.005,-0.99
0.006,-0.988
0.007,-0.986
0.008,-0.984
0.009000000000000001,-0.982
0.01,-0.98
0.011,-0.978
0.012,-0.976
0.013000000000000001,-0.974
0.014,-0.972
0.015,-0.97
0.016,-0.968
0.017,-0.966
0.018000000000000002,-0.964
0.019,-0.962
0.02,-0.96
0.021,-0.958
0.022,-0.956
0.023,-0.954
0.024,-0.952
0.025,-0.95
0.026000000000000002,-0.948
0.027,-0.946
0.028,-0.944
0.029,-0.942
0.03,-0.94
0.031,-0.938
0.032,-0.9359999999999999
0.033,-0.9339999999999999
0.034,-0.9319999999999999
0.035,-0.9299999999999999
0.036000000000000004,-0.9279999999999999
0.037,-0.926
0.038,-0.924
0.039,-0.922
0.04,-0.92
0.041,-0.918
0.042,-0.916
0.043000000000000003,-0.914
0.044,-0.912
0.045,-0.91
0.046,-0.908
0.047,-0.906
0.048,-0.904
0.049,-0.902
0.05,-0.9
0.051000000000000004,-0.898
0.052000000000000005,-0.896
0.053,-0.894
0.054,-0.892
0.055,-0.89
0.056,-0.888
0.057,-0.886
0.058,-0.884
0.059000000000000004,-0.882
0.06,-0.88
0.061,-0.878
0.062,-0.876
0.063,-0.874
0.064,-0.872
0.065,-0.87
0.066,-0.868
0.067,-0.866
0.068,-0.864
0.069,-0.862
0.07,-0.86
0.07100000000000001,-0.858
0.07200000000000001,-0.856
0.073,-0.854
0.074,-0.852
0.075,-0.85
0.076,-0.848
0.077,-0.846
0.078,-0.844
0.079,-0.842
0.08,-0.84
0.081,-0.838
0.082,-0.836
0.083,-0.834
0.084,-0.832
0.085,-0.83
0.08600000000000001,-0.828
0.08700000000000001,-0.826
0.088,-0.8240000000000001
0.089,-0.8220000000000001
0.09,-0.8200000000000001
0.091,-0.8180000000000001
0.092,-0.8160000000000001
0.093,-0.8140000000000001
0.094,-0.812
0.095,-0.81
0.096,-0.808
0.097,-0.806
0.098,-0.804
0.099,-0.802
0.1,-0.8
0.101,-0.798
0.10200000000000001,-0.796
0.10300000000000001,-0.794
0.10400000000000001,-0.792
0.105,-0.79
0.106,-0.788
0.107,-0.786
0.108,-0.784
0.109,-0.782
0.11,-0.78
0.111,-0.778
0.112,-0.776
0.113,-0.774
0.114,-0.772
0.115,-0.77
0.116,-0.768
0.117,-0.766
0.11800000000000001,-0.764
0.11900000000000001,-0.762
0.12,-0.76
0.121,-0.758
0.122,-0.756
0.123,-0.754
0.124,-0.752
0.125,-0.75
0.126,-0.748
0.127,-0.746
0.128,-0.744
0.129,-0.742
0.13,-0.74
0.131,-0.738
0.132,-0.736
0.133,-0.734
0.134,-0.732
0.135,-0.73
0.136,-0.728
0.137,-0.726
0.138,-0.724
0.139,-0.722
0.14,-0.72
0.14100000000000001,-0.718
0.14200000000000002,-0.716
0.14300000000000002,-0.714
0.14400000000000002,-0.712
0.145,-0.71
0.146,-0.708
0.147,-0.706
0.148,-0.704
0.149,-0.702
0.15,-0.7
0.151,-0.698
0.152,-0.696
0.153,-0.694
0.154,-0.692
0.155,-0.69
0.156,-0.688
0.157,-0.6859999999999999
0.158,-0.6839999999999999
0.159,-0.6819999999999999
0.16,-0.6799999999999999
0.161,-0.6779999999999999
0.162,-0.6759999999999999
0.163,-0.6739999999999999
0.164,-0.6719999999999999
0.165,-0.6699999999999999
0.166,-0.6679999999999999
0.167,-0.6659999999999999
0.168,-0.6639999999999999
0.169,-0.6619999999999999
0.17,-0.6599999999999999
0.171,-0.6579999999999999
0.17200000000000001,-0.6559999999999999
0.17300000000000001,-0.6539999999999999
0.17400000000000002,-0.6519999999999999
0.17500000000000002,-0.6499999999999999
0.176,-0.648
0.177,-0.646
0.178,-0.644
0.179,-0.642
0.18,-0.64
0.181,-0.638
0.182,-0.636
0.183,-0.634
0.184,-0.632
0.185,-0.63
0.186,-0.628
0.187,-0.626
0.188,-0.624
0.189,-0.622
0.19,-0.62
0.191,-0.618
0.192,-0.616
0.193,-0.614
0.194,-0.612
0.195,-0.61
0.196,-0.608
0.197,-0.606
0.198,-0.604
0.199,-0.602
0.2,-0.6
0.201,-0.598
0.202,-0.596
0.203,-0.594
0.20400000000000001,-0.592
0.20500000000000002,-0.59
0.20600000000000002,-0.588
0.20700000000000002,-0.586
0.20800000000000002,-0.584
0.209,-0.5820000000000001
0.21,-0.5800000000000001
0.211,-0.5780000000000001
0.212,-0.5760000000000001
0.213,-0.5740000000000001
0.214,-0.5720000000000001
0.215,-0.5700000000000001
0.216,-0.5680000000000001
0.217,-0.5660000000000001
0.218,-0.5640000000000001
0.219,-0.562
0.22,-0.56
0.221,-0.558
0.222,-0.556
0.223,-0.554
0.224,-0.552
0.225,-0.55
0.226,-0.548
0.227,-0.546
0.228,-0.544
0.229,-0.542
0.23,-0.54
0.231,-0.538
0.232,-0.536
0.233,-0.534
0.234,-0.532
0.23500000000000001,-0.53
0.23600000000000002,-0.528
0.23700000000000002,-0.526
0.23800000000000002,-0.524
0.23900000000000002,-0.522
0.24,-0.52
0.241,-0.518
0.242,-0.516
0.243,-0.514
0.244,-0.512
0.245,-0.51
0.246,-0.508
0.247,-0.506
0.248,-0.504
0.249,-0.502
0.25,-0.5
0.251,-0.498
0.252,-0.496
0.253,-0.494
0.254,-0.492
0.255,-0.49
0.256,-0.488
0.257,-0.486
0.258,-0.484
0.259,-0.482
0.26,-0.48
0.261,-0.478
0.262,-0.476
0.263,-0.474
0.264,-0.472
0.265,-0.47
0.266,-0.46799999999999997
0.267,-0.46599999999999997
0.268,-0.46399999999999997
0.269,-0.46199999999999997
0.27,-0.45999999999999996
0.271,-0.45799999999999996
0.272,-0.45599999999999996
0.273,-0.45399999999999996
0.274,-0.45199999999999996
0.275,-0.44999999999999996
0.276,-0.44799999999999995
0.277,-0.44599999999999995
0.278,-0.44399999999999995
0.279,-0.44199999999999995
0.28,-0.43999999999999995
0.281,-0.43799999999999994
0.28200000000000003,-0.43599999999999994
0.28300000000000003,-0.43399999999999994
0.28400000000000003,-0.43199999999999994
0.28500000000000003,-0.42999999999999994
0.28600000000000003,-0.42799999999999994
0.28700000000000003,-0.42599999999999993
0.28800000000000003,-0.42399999999999993
0.289,-0.42200000000000004
0.29,-0.42000000000000004
0.291,-0.41800000000000004
0.292,-0.41600000000000004
0.293,-0.41400000000000003
0.294,-0.41200000000000003
0.295,-0.41000000000000003
0.296,-0.40800000000000003
0.297,-0.406
0.298,-0.404
0.299,-0.402
0.3,-0.4
0.301,-0.398
0.302,-0.396
0.303,-0.394
0.304,-0.392
0.305,-0.39
0.306,-0.388
0.307,-0.386
0.308,-0.384
0.309,-0.382
0.31,-0.38
0.311,-0.378
0.312,-0.376
0.313,-0.374
0.314,-0.372
0.315,-0.37
0.316,-0.368
0.317,-0.366
0.318,-0.364
0.319,-0.362
0.32,-0.36
0.321,-0.358
0.322,-0.356
0.323,-0.354
0.324,-0.352
0.325,-0.35
0.326,-0.348
0.327,-0.346
0.328,-0.344
0.329,-0.34199999999999997
0.33,-0.33999999999999997
0.331,-0.33799999999999997
0.332,-0.33599999999999997
0.333,-0.33399999999999996
0.334,-0.33199999999999996
0.335,-0.32999999999999996
0.336,-0.32799999999999996
0.337,-0.32599999999999996
0.338,-0.32399999999999995
0.339,-0.32199999999999995
0.34,-0.31999999999999995
0.341,-0.31799999999999995
0.342,-0.31599999999999995
0.343,-0.31399999999999995
0.34400000000000003,-0.31199999999999994
0.34500000000000003,-0.30999999999999994
0.34600000000000003,-0.30799999999999994
0.34700000000000003,-0.30599999999999994
0.34800000000000003,-0.30399999999999994
0.34900000000000003,-0.30199999999999994
0.35000000000000003,-0.29999999999999993
0.35100000000000003,-0.29799999999999993
0.352,-0.29600000000000004
0.353,-0.29400000000000004
0.354,-0.29200000000000004
0.355,-0.29000000000000004
0.356,-0.28800000000000003
0.357,-0.28600000000000003
0.358,-0.28400000000000003
0.359,-0.28200000000000003
0.36,-0.28
0.361,-0.278
0.362,-0.276
0.363,-0.274
0.364,-0.272
0.365,-0.27
0.366,-0.268
0.367,-0.266
0.368,-0.264
0.369,-0.262
0.37,-0.26
0.371,-0.258
0.372,-0.256
0.373,-0.254
0.374,-0.252
0.375,-0.25
0.376,-0.248
0.377,-0.246
0.378,-0.244
0.379,-0.242
0.38,-0.24
0.381,-0.238
0.382,-0.236
0.383,-0.23399999999999999
0.384,-0.23199999999999998
0.385,-0.22999999999999998
0.386,-0.22799999999999998
0.387,-0.22599999999999998
0.388,-0.22399999999999998
0.389,-0.22199999999999998
0.39,-0.21999999999999997
0.391,-0.21799999999999997
0.392,-0.21599999999999997
0.393,-0.21399999999999997
0.394,-0.21199999999999997
0.395,-0.20999999999999996
0.396,-0.20799999999999996
0.397,-0.20599999999999996
0.398,-0.20399999999999996
0.399,-0.20199999999999996
0.4,-0.19999999999999996
0.401,-0.19799999999999995
0.402,-0.19599999999999995
0.403,-0.19399999999999995
0.404,-0.19199999999999995
0.405,-0.18999999999999995
0.406,-0.18799999999999994
0.40700000000000003,-0.18599999999999994
0.40800000000000003,-0.18399999999999994
0.40900000000000003,-0.18199999999999994
0.41000000000000003,-0.17999999999999994
0.41100000000000003,-0.17799999999999994
0.41200000000000003,-0.17599999999999993
0.41300000000000003,-0.17399999999999993
0.41400000000000003,-0.17199999999999993
0.41500000000000004,-0.16999999999999993
0.41600000000000004,-0.16799999999999993
0.417,-0.16600000000000004
0.418,-0.16400000000000003
0.419,-0.16200000000000003
0.42,-0.16000000000000003
0.421,-0.15800000000000003
0.422,-0.15600000000000003
0.423,-0.15400000000000003
0.424,-0.15200000000000002
0.425,-0.15000000000000002
0.426,-0.14800000000000002
0.427,-0.14600000000000002
0.428,-0.14400000000000002
0.429,-0.14200000000000002
0.43,-0.14
0.431,-0.138
0.432,-0.136
0.433,-0.134
0.434,-0.132
0.435,-0.13
0.436,-0.128
0.437,-0.126
0.438,-0.124
0.439,-0.122
0.44,-0.12
0.441,-0.118
0.442,-0.11599999999999999
0.443,-0.11399999999999999
0.444,-0.11199999999999999
0.445,-0.10999999999999999
0.446,-0.10799999999999998
0.447,-0.10599999999999998
0.448,-0.10399999999999998
0.449,-0.10199999999999998
0.45,-0.09999999999999998
0.451,-0.09799999999999998
0.452,-0.09599999999999997
0.453,-0.09399999999999997
0.454,-0.09199999999999997
0.455,-0.08999999999999997
0.456,-0.08799999999999997
0.457,-0.08599999999999997
0.458,-0.08399999999999996
0.459,-0.08199999999999996
0.46,-0.07999999999999996
0.461,-0.07799999999999996
0.462,-0.07599999999999996
0.463,-0.07399999999999995
0.464,-0.07199999999999995
0.465,-0.06999999999999995
0.466,-0.06799999999999995
0.467,-0.06599999999999995
0.468,-0.06399999999999995
0.46900000000000003,-0.061999999999999944
0.47000000000000003,-0.05999999999999994
0.47100000000000003,-0.05799999999999994
0.47200000000000003,-0.05599999999999994
0.47300000000000003,-0.05399999999999994
0.47400000000000003,-0.051999999999999935
0.47500000000000003,-0.04999999999999993
0.47600000000000003,-0.04799999999999993
0.47700000000000004,-0.04599999999999993
0.47800000000000004,-0.04399999999999993
0.47900000000000004,-0.041999999999999926
0.48,-0.040000000000000036
0.481,-0.038000000000000034
0.482,-0.03600000000000003
0.483,-0.03400000000000003
0.484,-0.03200000000000003
0.485,-0.030000000000000027
0.486,-0.028000000000000025
0.487,-0.026000000000000023
0.488,-0.02400000000000002
0.489,-0.02200000000000002
0.49,-0.020000000000000018
0.491,-0.018000000000000016
0.492,-0.016000000000000014
0.493,-0.014000000000000012
0.494,-0.01200000000000001
0.495,-0.010000000000000009
0.496,-0.008000000000000007
0.497,-0.006000000000000005
0.498,-0.0040000000000000036
0.499,-0.0020000000000000018
0.5,0.0
0.501,-0.0020000000000000018
0.502,-0.0040000000000000036
0.503,-0.006000000000000005
0.504,-0.008000000000000007
0.505,-0.010000000000000009
0.506,-0.01200000000000001
0.507,-0.014000000000000012
0.508,-0.016000000000000014
0.509,-0.018000000000000016
0.51,-0.020000000000000018
0.511,-0.02200000000000002
0.512,-0.02400000000000002
0.513,-0.026000000000000023
0.514,-0.028000000000000025
0.515,-0.030000000000000027
0.516,-0.03200000000000003
0.517,-0.03400000000000003
0.518,-0.03600000000000003
0.519,-0.038000000000000034
0.52,-0.040000000000000036
0.521,-0.04200000000000004
0.522,-0.04400000000000004
0.523,-0.04600000000000004
0.524,-0.04800000000000004
0.525,-0.050000000000000044
0.526,-0.052000000000000046
0.527,-0.05400000000000005
0.528,-0.05600000000000005
0.529,-0.05800000000000005
0.53,-0.06000000000000005
0.531,-0.062000000000000055
0.532,-0.06400000000000006
0.533,-0.06600000000000006
0.534,-0.06800000000000006
0.535,-0.07000000000000006
0.536,-0.07200000000000006
0.537,-0.07400000000000007
0.538,-0.07600000000000007
0.539,-0.07800000000000007
0.54,-0.08000000000000007
0.541,-0.08200000000000007
0.542,-0.08400000000000007
0.543,-0.08600000000000008
0.544,-0.08800000000000008
0.545,-0.09000000000000008
0.546,-0.09200000000000008
0.547,-0.09400000000000008
0.548,-0.09600000000000009
0.549,-0.09800000000000009
0.55,-0.10000000000000009
0.551,-0.10200000000000009
0.552,-0.10400000000000009
0.553,-0.1060000000000001
0.554,-0.1080000000000001
0.555,-0.1100000000000001
0.556,-0.1120000000000001
0.557,-0.1140000000000001
0.558,-0.1160000000000001
0.559,-0.1180000000000001
0.56,-0.1200000000000001
0.561,-0.12200000000000011
0.562,-0.12400000000000011
0.5630000000000001,-0.1260000000000001
0.5640000000000001,-0.1280000000000001
0.5650000000000001,-0.13000000000000012
0.5660000000000001,-0.13200000000000012
0.5670000000000001,-0.13400000000000012
0.5680000000000001,-0.13600000000000012
0.5690000000000001,-0.13800000000000012
0.5700000000000001,-0.14000000000000012
0.5710000000000001,-0.14200000000000013
0.5720000000000001,-0.14400000000000013
0.5730000000000001,-0.14600000000000013
0.5740000000000001,-0.14800000000000013
0.5750000000000001,-0.15000000000000013
0.5760000000000001,-0.15200000000000014
0.577,-0.15399999999999991
0.578,-0.15599999999999992
0.579,-0.15799999999999992
0.58,-0.15999999999999992
0.581,-0.16199999999999992
0.582,-0.16399999999999992
0.583,-0.16599999999999993
0.584,-0.16799999999999993
0.585,-0.16999999999999993
0.586,-0.17199999999999993
0.587,-0.17399999999999993
0.588,-0.17599999999999993
0.589,-0.17799999999999994
0.59,-0.17999999999999994
0.591,-0.18199999999999994
0.592,-0.18399999999999994
0.593,-0.18599999999999994
0.594,-0.18799999999999994
0.595,-0.18999999999999995
0.596,-0.19199999999999995
0.597,-0.19399999999999995
0.598,-0.19599999999999995
0.599,-0.19799999999999995
0.6,-0.19999999999999996
0.601,-0.20199999999999996
0.602,-0.20399999999999996
0.603,-0.20599999999999996
0.604,-0.20799999999999996
0.605,-0.20999999999999996
0.606,-0.21199999999999997
0.607,-0.21399999999999997
0.608,-0.21599999999999997
0.609,-0.21799999999999997
0.61,-0.21999999999999997
0.611,-0.22199999999999998
0.612,-0.22399999999999998
0.613,-0.22599999999999998
0.614,-0.22799999999999998
0.615,-0.22999999999999998
0.616,-0.23199999999999998
0.617,-0.23399999999999999
0.618,-0.236
0.619,-0.238
0.62,-0.24
0.621,-0.242
0.622,-0.244
0.623,-0.246
0.624,-0.248
0.625,-0.25
0.626,-0.252
0.627,-0.254
0.628,-0.256
0.629,-0.258
0.63,-0.26
0.631,-0.262
0.632,-0.264
0.633,-0.266
0.634,-0.268
0.635,-0.27
0.636,-0.272
0.637,-0.274
0.638,-0.276
0.639,-0.278
0.64,-0.28
0.641,-0.28200000000000003
0.642,-0.28400000000000003
0.643,-0.28600000000000003
0.644,-0.28800000000000003
0.645,-0.29000000000000004
0.646,-0.29200000000000004
0.647,-0.29400000000000004
0.648,-0.29600000000000004
0.649,-0.29800000000000004
0.65,-0.30000000000000004
0.651,-0.30200000000000005
0.652,-0.30400000000000005
0.653,-0.30600000000000005
0.654,-0.30800000000000005
0.655,-0.31000000000000005
0.656,-0.31200000000000006
0.657,-0.31400000000000006
0.658,-0.31600000000000006
0.659,-0.31800000000000006
0.66,-0.32000000000000006
0.661,-0.32200000000000006
0.662,-0.32400000000000007
